"Restaurante","Avaliação","Localização","Vendas da Rede","Crescimento Anual (%)","Nº de Filiais","Crescimento Anual Filiais (%)","Vendas Média das Filiais","Ano do Ranking","Franquia"
"Salad Creations","South Florida-based Salad Creations, crossed the 50-unit milestone and hit an estimated $35 million in sales, a whopping 79.5 percent more than in 2007.","Margate, Fla.",3.5e+07,79.5,53,43.2,8e+05,2009,NA
"Tilted Kilt Pub & Eatery","A modern American, Scottish, Irish and English sports pub, the Tilted Kilt brings its motto “A cold beer never looked so good” to life with Hooters-esque servers in short plaid kilts, matching halters and midriff-baring blouses. Founded in 2003 by Mark DiMartino, the company began franchising two years ago and brought on Schlotsky’s veteran Ron Lynch to lead the effort. The Kilt had 14 units at the end of ‘08 and opened its 20th unit in May.","Phoenix, Ariz.",4e+07,60,14,75,3900000,2009,NA
"Which Wich?","No salads. No soups. Just “superior” toasted ‘wiches served in more than 50 varieties (plus chips, beverages, fresh-baked cookies and hand-dipped shakes). When founder Jeff Sinelli set out to create a new kind of quick service sandwich shop, he kept the menu focused yet highly customizable. An interactive ordering system using pre-printed menus on paper sandwich bags ensures guests get custom-made sandwiches exactly how they like them. All sandwiches are sold for one set price.","Dallas, Texas",36750000,59.8,67,42.6,650000,2009,NA
"Organic To Go","Founded in 2004 by Jason Brown, Organic to Go went public in 2007. It’s hailed as the nation’s only fast-casual chain to be USDA Organic certified. Formats include retail cafes, business delivery and corporate catering and branded grab-and-go kiosks. On the menu are classic American entrees, artisan baked goods, sandwiches and wraps, soups and stews, vegetarian meals, and organic and natural beverages and snacks. The company operates in Washington, California and Washington, D.C.","Seattle, Wash.",2.5e+07,57.2,34,47.8,750000,2009,NA
"Straw Hat Pizza","Celebrating its 50th anniversary this month, Straw Hat has long held to its original family-friendly, community-focused, California pizza concept. It’s a strategy that’s served the company well, especially during the recession, says president Jonathan Fornaci, who was brought on in 2006 to kick start growth. He’s taking Straw Hat outside of its West Coast territory to expand nationally and internationally. Within two years, it should reach 150 units and will likely go public within two to three years.","San Ramon, Calif.",4e+07,50.9,58,38.1,680000,2009,NA
"Bajio Mexican Grill","The Utah-based Bajio Mexican Grill dishes up “inspired Mexican” food that is made from scratch. The fast-casual menu features marinated meats, “amazing flavors” and gentle spicing that appeals to more sophisticated palates. Mexican tiles, copper pots and other artisan touches enhance the décor. Owned by Fred De Luca’s Franchised Brands, LLC, Bajio is scouting lifestyle centers and downtown sites for new locations. Currently, there are 45 total units in 12 states.","American Fork, Utah",36500000,47.8,41,13.9,975000,2009,NA
"Genghis Grill","Mongolian Barbeque restaurants have been popular for years, but the 29-unit Ghengis Grill appears to have adapted the cuisine perfectly for a fast-casual concept. Using what the chain calls an “interactive style of exhibition cooking,” customers select an array of meats, oils, vegetables and sauces and then hand them over to a “Grill Master” who transforms the ingredients into a meal.","Dallas, Texas",29500000,47.5,29,45,1200000,2009,NA
"Cafe Rio Mexican Grill","You won’t find a microwave or freezer at any of Café Rio’s 21 units. The Rio Grande-style Mexican restaurant prides itself on the freshness of its made-to-order meals. Employees arrive early to prepare homemade tortillas and squeeze a daily average of nine cases of limes—a crucial ingredient. Bob and Kathleen Nilsen bought the chain in 2004 and have since more than doubled its size, moving beyond the Utah border into Arizona and Nevada.","Salt Lake City, Utah",2.5e+07,47.1,21,16.7,1300000,2009,NA
"Fish City Grill","In 1995, Bill Bayne bought his neighborhood coffee shop in Dallas’ Snider Plaza and transformed it into an oyster bar. The original restaurant eventually spawned three seafood chains that are now operated by Neighborhood Ventures Inc., of which Bayne is president. The casual Fish City Grill, a cozy, seaport-themed concept that locates in upscale neighborhoods, is the most widespread, with 28 units in six states.","Addison, Texas",29200000,46,28,40,1300000,2009,NA
"Hurricane Grill & Wings","Its uniquely savory chicken wings “flowing with flavor” and served in a family-friendly atmosphere have attracted a solid customer base for Hurricane Grill & Wings. The chain has aggressive national expansion plans and is looking to New York, Arizona, Ohio, Georgia, Michigan and California to develop new units. Come October, 2009 units are slated to open in New York and Arizona respectively. A re-branding design for interiors and menus moves away from a tropical theme to a “Don Mackin” beach paradise look.",NA,35200000,38,30,20,1200000,2009,NA
"ZPizza","While gourmet pizza with an array of unusual toppings is commonplace these days, it was a novelty in 1987 when Sid Fanarof opened the first ZPizza in Laguna Beach, California. The handcrafted pies, which boasted such health-conscious ingredients as chicken with salsa and artichokes and capers, caught on quickly. Today, the multi-unit chain, which prefers high-profile lifestyle centers and metropolitan retail centers, serves oversize salads and sandwiches as well as pizza. And pies can be made with alternatives like soy cheeses, gluten-free crusts and certified organic ingredients.","Newport Beach, Calif.",4.9e+07,36.1,87,26.1,615000,2009,NA
"Scooter’s Coffeehouse","Scooter’s Coffeehouse began expanding from its original Bellevue, Nebraska, coffee shop in 2001, and the premium coffee franchise has since opened more than 70 units in eight states. There’s no shortage of competition in the coffee industry, so Scooter’s distinguishes itself by focusing on premium products—freshly roasted beans, carefully crafted specialty drinks and top-notch syrups and flavorings. President Tom Townsend aims for Scooter’s to become one of the top 10 specialty coffee franchises in the country—already, he says, it’s cracked the top 15.","Omaha, Neb.",31800000,35.1,76,38.2,485000,2009,NA
"Nancy’s Pizza","Nancy and Rocco Palese opened their first pizza parlor in Chicago shortly after emigrating from Turin, Italy, in 1969. They initially featured thin crust pizza, which was popular at the time, but business didn’t really take off until Rocco introduced a unique stuffed pizza, modeled after his family’s recipe for scarciedda, an Easter specialty cake. After transforming Nancy’s Pizza into a Chicago legend, Nancy and Rocco in 1992 sold the business to Chicago Franchise Systems. The chain has since expanded well beyond the Chicago region, with units as far away as Georgia.","Tinley Park, Ill.",3.2e+07,33.3,46,35.3,7e+05,2009,NA
"Carolina Ale House","Carolina Ale House is celebrating its 10th anniversary this year with a series of parties, drink specials and other events. The group of community-oriented sports bars expanded throughout the Raleigh region in recent years and into Florida and South Carolina, racking up an array of “best bar” prizes along the way. The Moshakos family, which owns and runs parent company LM Restaurants, aims for the chain to offer a family-friendly, sports-themed environment.","Raleigh, N.C.",38500000,32.8,11,37.5,4050000,2009,NA
"Redstone American Grill ","A Redstone American Grill opening in Chevy Chase, Maryland, this summer will be the sixth unit in this chain of casual fine-dining restaurants spread across five states. Founder Dean Vlahos built the 10-year-old chain on his vision of an upscale, casual experience aimed at Baby Boomers. The restaurants’ “spirited, rugged and romantic” ambience is key to their identity: Redstone’s units boast large stone fireplaces, granite bars, lots of wood and open exhibition kitchens with rotisserie and wood-burning grills.","Wayzata, Minn.",3.8e+07,37.9,5,25,7600000,2009,NA
"Stir Crazy","The heavy-hitters behind Stir Crazy like to bring the “kitchen right out into the dining room” for an eating experience like no other. A pan-Asian concept with “bold and delicious” flavors, the chain also features 35 wines by the glass that go well with the Chinese, Thai and Vietnamese dishes. With 14 full-service units, the most recent opening in Wisconsin, the chain is ready to bring their unique style to Florida and Kansas. Special events, cooking demos and an interactive Web site help fuel the brand.","Chicago, Ill.",4.7e+07,30.6,14,27.3,3800000,2009,NA
"Firkin Pubs","Each of the more than 45 units in the Firkin group is a traditional English pub, but each one is also unique, with its own Firkin-themed name (e.g. The Firkin and the Fox, Frog and Firkin) and distinct touches that make it fit into its neighborhood. The chain was founded in Ontario, Canada, and has spread widely across the U.S. as well, with locations from Florida to British Columbia. Firkin has 17 units open in the U.S., with 180 more pubs in development throughout North America. ",NA,2.8e+07,30.2,17,112.5,2665000,2009,NA
"Moxie Java","Moxie Java serves all the coffee drinks you’d find at a typical coffee shop—plus, at many of its 63 units, a wide range of food, from quiches and wraps to a proprietary gelato-style ice cream. In 2006, the chain introduced its Moxie Java Bistro concept, which allows franchisees to give the Moxie Java shop a fast-casual twist with made-to-order breakfast, lunch and dinner items.","Boise, Idaho",2.6e+07,30,63,50,5e+05,2009,NA
"Rotelli Pizza, Pasta, Perfect","Joseph Bilotti opened his first Rotelli’s as a “neighborhood family Italian restaurant” in 1999. The pasta menu includes baked ziti, linguini and clam sauce and penne alla vodka—all pure Italian-American in execution—and the pizza is a hand-tossed New York-style pie. Current units are concentrated in Florida with others scattered in Colorado, Arizona, South Carolina, Ohio and Pennsylvania. New outposts in North Carolina are in the planning stages.","Coconut Creek, Fla.",3.6e+07,28.6,36,16.1,1e+06,2009,NA
"HuHot Mongolian Grill","It is all about choice at this Montana-born chain. The restaurant’s guests choose from a varied selection of freshly prepared meat, seafood, noodles, vegetables and sauce and then watch as cooks sizzle their creations on flat Mongolian-style grills. The HuHot chain has “captured territories” in 14 states and has garnered international interest from Dubai and Mongolia. They ask their franchisees to “fight against mediocrity in casual dining” so as to lend an inspired experience to guests.","Missoula, Mont.",4.8e+07,27.3,31,24,1700000,2009,NA
"Sushi Samba","Sushi Samba offers a stylish tri-cultural blend of Brazilian, Peruvian and Japanese culinary traditions. The menu includes items like tuna tataki, sashimi ceviche and South American beef maki rolls, and the restaurants’ funky and exotic ambience matches the food’s flair. The chain started in Manhattan in 1999, and has since expanded to major cities including Miami, Las Vegas and Tel Aviv. Later this year, the company plans to launch Sugar Cane, a Sushi Samba spinoff that spokesperson Joanne Cisowska describes as a more casual concept with lower prices.","New York, N.Y.",4e+07,25,6,50,8e+06,2009,NA
"Extreme Pizza","“Life’s too short for mediocrity” says this chain, which doles out specialty pizzas like the “Adrenaline Rush,” “X-factor” hot wings and monster subs. This philosophy shines through in each of their 45 extreme sports-themed sites located primarily in the West and Southwest regions of the country, with one location in Ireland. Franchising efforts are targeted nationally and in the U.K. and Ireland.","San Francisco, Calif.",33500000,23.6,38,15.2,935000,2009,NA
"Nature’s Table Café","Back in 1977 when Dick Larsen opened the first Nature’s Table Café, smoothies were a revelation to Floridians. So perhaps it’s no surprise that the mall-based, healthy QSR concept has legs. The first franchise opened in 1986, and shortly thereafter Nature’s Table ventured into the office building market with an array of breakfast treats, paninis, wraps, soups and salads. “Sensible food that tastes great” is the concept’s mantra.","Orlando, Fla.",37500000,21,88,25.7,485000,2009,NA
"Nestle Toll House Café by Chip","Hot and iced Nescafe coffees accompany Nestle brand cookies, muffins, cakes, scones, croissants and some 45 other branded baked goods, ice cream and fruit smoothies. Catering of items such as sheet cookie cakes is more than 25 percent of the business, which was founded in 2000 by Ziad Dalal and Doyle Liesenfelt. Unit formats range from regional mall kiosks to in-line to street-side cafes. Franchisor Crest Foods Inc. franchises all but one unit—which is corporately owned—to franchisees in some 30 states.","Richardson, Texas",30800000,20.8,107,12.6,305000,2009,NA
"Panchero’s Mexican Grill","Rodney Anderson and his father, Thomas, founded Panchero’s in 1992 with two units in Midwestern college towns. They later went on to expand to the suburbs. Their signature offering—fresh, made-to-order tortillas—are the foundation for the concept’s burritos, quesadillas and tacos. Panchero’s units have no freezers, microwaves or fryers on the premises. Plans are in the works to open 10 more Panchero’s within the next year.","Coralville, Iowa",4.6e+07,19.5,55,10,875000,2009,NA
"Kabuki Japanese Restaurant","Since 1991, Kabuki’s mission has been to be the “best Japanese restaurant” in southern California with innovative design and enticing menus. They have invested in differentiating their beverage program with a Master Sake Sommelier.","Burbank, Calif.",4.3e+07,19.4,13,18.2,3600000,2009,NA
"Pizza Patrón","For more than 20 years, Pizza Patrón has been committed to celebrating the diversity of the Latin culture and lifestyle in its stores. While most companies merely market to Hispanics, the entire Pizza Patrón brand is centered on creating a unique experience that respects and honors the multifaceted traditions and heritage found within Latin life. Today, there are over 90 locations in six states.","Dallas, Texas",3.1e+07,19.2,85,21.4,410000,2009,NA
"Oberweis Dairy","The third and fourth generations of the Oberweis family run the expanding company that began in 1927 as a milk delivery business in the days before reliable refrigeration. Oberweis still delivers its milk in glass bottles, but the café division, which debuted in 1951 as a retail store with an ice cream fountain, now operates throughout the Chicago and St. Louis markets and parts of Indiana and Michigan. Not currently franchising, the company prefers to own its land and freestanding buildings. Newest of some 40 ice cream flavors are cherry pie a la mode and key lime pie.","Aurora, Ill.",3.4e+07,18.1,47,30.6,825000,2009,NA
"Pita Pit","“Fresh thinking and healthy eating” at the Pita Pit means lean grilled meats, fresh vegetables and light, Lebanese-style pita bread. Founded in Kingston, Ontario, in 1995, franchising began in 1997 and moved into the United States by 1999. Current Pita Pit USA CEO Jack Riggs and a team of investors bought the chain in 2005 and have dozens of stores in development.","Huntington Beach, Calif.",4.7e+07,17.5,173,13.8,290000,2009,NA
"Glory Days Grill","This sports bar and grill spans three states and emphasizes community involvement through team sponsorships, fundraising efforts and cartoon programming for the kids. The menu features regional standards like ribs, Philly cheese steaks, pasta dishes and salads. Founders Jeff Newman, Richard Danker and Robert Garner set out to create a neighborhood restaurant, with reasonable prices and a focus on the positive attributes of sports.",NA,37500000,17.2,22,15.8,1800000,2009,NA
